Tunniste;lat;lon
1.2.246.10.10065385.10.104011;64.7639359;26.4174559
1.2.246.10.10065385.10.104012;64.7649894;26.4130307
1.2.246.10.10065385.10.104013;64.7639359;26.4174559
1.2.246.10.10065385.10.104014;64.7658;26.41083
1.2.246.10.10065385.10.104015;64.7649894;26.4130307
1.2.246.10.10065385.10.104016;64.7639359;26.4174559
1.2.246.10.10065385.10.104017;64.76866;26.41088
1.2.246.10.10065385.10.104018;64.7639359;26.4174559
1.2.246.10.10065385.10.104019;64.7649894;26.4130307
1.2.246.10.10065385.10.104020;64.7649894;26.4130307
1.2.246.10.10065385.10.104021;64.7401;26.45753
1.2.246.10.10065385.10.104022;64.7639359;26.4174559
1.2.246.10.10065385.10.104023;64.7639359;26.4174559
1.2.246.10.10065385.10.104024;64.7639359;26.4174559
1.2.246.10.10065385.10.104025;64.7639359;26.4174559
1.2.246.10.10065385.10.104026;64.7639359;26.4174559
1.2.246.10.10065385.10.104027;64.7639359;26.4174559
1.2.246.10.10065385.10.105;64.55934;26.83011
1.2.246.10.10065385.10.105001;64.55934;26.83011
1.2.246.10.10065385.10.105002;64.55934;26.83011
1.2.246.10.10065385.10.105003;64.55934;26.83011
1.2.246.10.10065385.10.105004;64.55934;26.83011
1.2.246.10.10065385.10.105005;64.55934;26.83011
1.2.246.10.10065385.10.105006;64.55934;26.83011
1.2.246.10.10065385.10.105007;64.55934;26.83011
1.2.246.10.10065385.10.105008;64.55934;26.83011
1.2.246.10.10065385.10.105009;64.56107;26.83566
1.2.246.10.10065385.10.105010;64.55934;26.83011
1.2.246.10.10065385.10.105011;64.55934;26.83011
1.2.246.10.10065385.10.105012;64.55934;26.83011
1.2.246.10.10065385.10.105013;64.55934;26.83011
1.2.246.10.10065385.10.105014;64.55934;26.83011
1.2.246.10.10065385.10.105015;64.55934;26.83011
1.2.246.10.10065385.10.105016;64.55934;26.83011
1.2.246.10.10065385.10.105017;64.56443;26.8406
1.2.246.10.10065385.10.105018;64.55934;26.83011
1.2.246.10.10065385.10.105019;64.55934;26.83011
1.2.246.10.10065385.10.105020;64.55934;26.83011
1.2.246.10.10065385.10.105021;64.55934;26.83011
1.2.246.10.10065385.10.105022;64.55934;26.83011
1.2.246.10.10065385.10.105023;64.55934;26.83011
1.2.246.10.10065385.10.105024;64.55934;26.83011
1.2.246.10.10065385.10.105025;64.55934;26.83011
1.2.246.10.10065385.10.105026;64.55934;26.83011
1.2.246.10.10065385.10.105027;64.55934;26.83011
1.2.246.10.10065502.10.0;62.2501089;25.7427228
1.2.246.10.10065502.10.1;62.23119;25.70759
1.2.246.10.10065502.10.2;62.23119;25.70759
1.2.246.10.10073633.10.0;60.73621;24.78589
1.2.246.10.10073633.10.1;60.74419;24.79439
1.2.246.10.10073633.10.2;60.74419;24.79439
1.2.246.10.10073633.10.3;60.73621;24.78589
1.2.246.10.10076738.10.0;62.57174;26.08114
1.2.246.10.10076738.10.1;62.57174;26.08114
1.2.246.10.10078370.10.0;62.18632;26.24342
1.2.246.10.10078370.10.1;62.1837;26.25385
1.2.246.10.10078784.10.0;60.20421;24.65699
1.2.246.10.10078784.10.1;60.20421;24.65699
1.2.246.10.10082572.10.0;60.9475;26.80196
1.2.246.10.10082572.10.1;60.90978;26.74438
1.2.246.10.10082978.10.0;61.1334;21.50143
1.2.246.10.10082978.10.1;61.1334;21.50143
1.2.246.10.10084762.10.0;60.28158;25.61668
1.2.246.10.10084762.10.1;60.62769;25.32881
1.2.246.10.10084762.10.2;60.16536;24.97525
1.2.246.10.10084762.10.3;60.17138;24.92783
1.2.246.10.10084762.10.4;60.29001;25.03623
1.2.246.10.10084762.10.5;60.39005;25.67293
